marca,clase,provincia,servicio,cantidad
FREIGHTLINER,Trailer,AZUAY,PARTICULAR,24
NISSAN,Volqueta,ESMERALDAS,PARTICULAR,24
HINO,Camión,ZAMORA CHINCHIPE,PARTICULAR,24
QMC,Camión,COTOPAXI,PARTICULAR,24
MITSUBISHI,Camión,TUNGURAHUA,ALQUILER,24
INTERNATIONAL,Trailer,COTOPAXI,PARTICULAR,24
MACK,Trailer,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,24
CHEVROLET,Camión,CAÑAR,ALQUILER,24
CHEVROLET,Tanquero,GUAYAS,PARTICULAR,24
FORD,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,ALQUILER,24
INTERNATIONAL,Trailer,COTOPAXI,ALQUILER,23
SCANIA,Trailer,GUAYAS,PARTICULAR,23
Otras Marcas,Trailer,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,23
MERCEDES BENZ,Camión,LOJA,ALQUILER,23
MERCEDES BENZ,Camión,CAÑAR,ALQUILER,23
KENWORTH,Trailer,EL ORO,PARTICULAR,23
MERCEDES BENZ,Camión,GUAYAS,ALQUILER,23
HYUNDAI,Camión,BOLÍVAR,PARTICULAR,23
JMC,Camión,AZUAY,PARTICULAR,23
MERCEDES BENZ,Trailer,AZUAY,PARTICULAR,23
SCANIA,Camión,TUNGURAHUA,PARTICULAR,23
FREIGHTLINER,Trailer,CARCHI,ALQUILER,23
FREIGHTLINER,Volqueta,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,23
MERCEDES BENZ,Trailer,GUAYAS,ALQUILER,23
DODGE,Camión,EL ORO,PARTICULAR,22
FORD,Trailer,GUAYAS,ALQUILER,22
KIA,Camión,CHIMBORAZO,PARTICULAR,22
FREIGHTLINER,Trailer,LOS RÍOS,PARTICULAR,22
MERCEDES BENZ,Volqueta,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,22
HYUNDAI,Camión,IMBABURA,ALQUILER,22
MACK,Trailer,EL ORO,PARTICULAR,22
MACK,Volqueta,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,22
FORD,Volqueta,CHIMBORAZO,PARTICULAR,22
FREIGHTLINER,Trailer,GUAYAS,ALQUILER,22
HINO,Camión,SUCUMBÍOS,ALQUILER,22
MACK,Volqueta,CAÑAR,PARTICULAR,22
NISSAN,Camión,CHIMBORAZO,ESTADO,22
HYUNDAI,Camión,CARCHI,PARTICULAR,22
HYUNDAI,Camión,AZUAY,ALQUILER,22
INTERNATIONAL,Volqueta,AZUAY,PARTICULAR,22
FORD,Volqueta,PICHINCHA,MUNNICIPIO,21
CHEVROLET,Volqueta,IMBABURA,PARTICULAR,21
FORD,Camión,MANABÍ,ALQUILER,21
HINO,Tanquero,TUNGURAHUA,PARTICULAR,21
SCANIA,Volqueta,PICHINCHA,PARTICULAR,21
NISSAN,Camión,CAÑAR,PARTICULAR,21
VOLVO,Trailer,GUAYAS,PARTICULAR,21
NISSAN,Volqueta,AZUAY,PARTICULAR,21
INTERNATIONAL,Trailer,MANABÍ,ALQUILER,21
VOLVO,Camión,LOS RÍOS,PARTICULAR,21
MACK,Volqueta,EL ORO,PARTICULAR,20
MITSUBISHI,Camión,LOS RÍOS,ALQUILER,20
VOLVO,Camión,GUAYAS,PARTICULAR,20
KENWORTH,Trailer,MANABÍ,PARTICULAR,20
MACK,Volqueta,TUNGURAHUA,PARTICULAR,20
JAC,Camión,CAÑAR,PARTICULAR,20
HINO,Tanquero,COTOPAXI,PARTICULAR,20
Otras Marcas,Volqueta,EL ORO,PARTICULAR,20
HYUNDAI,Camión,SANTA ELENA,PARTICULAR,20
